waypoint class initialized
waypoint class initialized
pose 6771.43 5362.32
next 6771.44 5361.35
pose 6771.46 5362.09
next 6771.46 5361.18
pose 6771.5 5361.95
next 6771.5 5361.07
pose 6771.53 5361.89
next 6771.52 5361.02
pose 6771.58 5361.75
next 6771.56 5360.92
pose 6771.58 5361.75
next 6771.56 5360.92
pose 6771.61 5361.52
next 6771.57 5360.75
pose 6771.6 5361.3
next 6771.57 5360.58
pose 6771.6 5361.3
next 6771.57 5360.58
pose 6771.6 5361.15
next 6771.57 5360.47
pose 6771.59 5361
next 6771.56 5360.36
pose 6771.59 5360.85
next 6771.56 5360.24
pose 6771.59 5360.69
next 6771.56 5360.13
pose 6771.57 5360.31
next 6771.53 5359.37
pose 6771.57 5360.23
next 6771.52 5359.34
pose 6771.55 5360
next 6771.51 5359.22
pose 6771.55 5360
next 6771.51 5359.22
pose 6771.54 5359.93
next 6771.51 5359.18
pose 6771.52 5359.54
next 6771.5 5358.99
pose 6771.52 5359.38
next 6771.48 5358.44
pose 6771.52 5359.38
next 6771.48 5358.44
pose 6771.52 5359.07
next 6771.48 5358.44
pose 6771.52 5359.07
next 6771.48 5358.44
pose 6771.51 5358.83
next 6771.48 5358.44
pose 6771.5 5358.68
next 6771.48 5358.44
pose 6771.5 5358.68
next 6771.48 5358.44
pose 6771.49 5358.44
next 6771.48 5358.44
pose 6771.49 5358.44
next 6771.48 5358.44
pose 6771.41 5357.99
next 6771.44 5357.1
pose 6771.41 5357.99
next 6771.44 5357.1
pose 6771.33 5357.77
next 6771.38 5356.94
pose 6771.32 5357.62
next 6771.36 5356.83
pose 6771.32 5357.47
next 6771.37 5356.71
pose 6771.33 5357.32
next 6771.37 5356.6
pose 6771.33 5357.32
next 6771.37 5356.6
pose 6771.34 5357.17
next 6771.38 5356.48
pose 6771.36 5356.86
next 6771.39 5356.25
pose 6771.36 5356.86
next 6771.39 5356.25
pose 6771.36 5356.78
next 6771.4 5356.19
pose 6771.36 5356.55
next 6771.4 5356.02
pose 6771.37 5356.39
next 6771.44 5355.41
pose 6771.37 5356.24
next 6771.44 5355.34
pose 6771.41 5355.93
next 6771.46 5355.18
pose 6771.41 5355.93
next 6771.46 5355.18
pose 6771.51 5355.65
next 6771.51 5355.04
pose 6771.51 5355.65
next 6771.51 5355.04
pose 6771.55 5355.27
next 6771.51 5354.44
pose 6771.55 5355.2
next 6771.51 5354.44
pose 6771.55 5355.2
next 6771.51 5354.44
pose 6771.53 5355.05
next 6771.51 5354.44
pose 6771.51 5354.9
next 6771.51 5354.44
pose 6771.48 5354.6
next 6771.51 5354.44
pose 6771.48 5354.6
next 6771.51 5354.44
pose 6771.51 5354.22
next 6771.51 5353.62
pose 6771.52 5354.15
next 6771.53 5353.56
pose 6771.57 5354.01
next 6771.57 5353.44
pose 6771.66 5353.81
next 6771.64 5353.26
pose 6771.67 5353.74
next 6771.66 5353.2
pose 6771.67 5353.74
next 6771.66 5353.2
pose 6771.68 5353.59
next 6771.67 5353.07
pose 6771.65 5353.31
next 6771.62 5352.34
pose 6771.65 5353.31
next 6771.62 5352.34
pose 6771.65 5352.94
next 6771.62 5352.06
pose 6771.66 5352.87
next 6771.63 5352.01
pose 6771.66 5352.87
next 6771.63 5352.01
pose 6771.71 5352.58
next 6771.67 5351.8
pose 6771.71 5352.44
next 6771.67 5351.69
pose 6771.71 5352.44
next 6771.67 5351.69
pose 6771.7 5352.21
next 6771.67 5351.52
pose 6771.69 5351.99
next 6771.66 5351.35
pose 6771.69 5351.84
next 6771.65 5351.24
pose 6771.69 5351.69
next 6771.65 5351.13
pose 6771.69 5351.69
next 6771.65 5351.13
pose 6771.68 5351.39
next 6771.62 5350.41
pose 6771.68 5351.24
next 6771.61 5350.34
pose 6771.68 5351.24
next 6771.61 5350.34
pose 6771.67 5351.09
next 6771.61 5350.26
pose 6771.64 5350.78
next 6771.6 5350.11
pose 6771.64 5350.71
next 6771.6 5350.07
pose 6771.64 5350.71
next 6771.6 5350.07
pose 6771.63 5350.48
next 6771.59 5349.96
pose 6771.63 5350.32
next 6771.55 5349.44
pose 6771.61 5349.93
next 6771.55 5349.44
pose 6771.6 5349.86
next 6771.55 5349.44
pose 6771.6 5349.86
next 6771.55 5349.44
pose 6771.56 5349.71
next 6771.55 5349.44
pose 6771.52 5349.56
next 6771.55 5349.44
pose 6771.5 5349.41
next 6771.52 5348.42
pose 6771.51 5349.19
next 6771.53 5348.25
pose 6771.52 5349.12
next 6771.54 5348.2
pose 6771.63 5348.86
next 6771.62 5348.01
pose 6771.63 5348.86
next 6771.62 5348.01
pose 6771.72 5348.59
next 6771.69 5347.8
pose 6771.72 5348.59
next 6771.69 5347.8
pose 6771.71 5348.3
next 6771.68 5347.59
pose 6771.7 5348.16
next 6771.67 5347.48
pose 6771.7 5348.16
next 6771.67 5347.48
pose 6771.69 5348.01
next 6771.67 5347.37
pose 6771.69 5347.72
next 6771.67 5347.15
pose 6771.69 5347.57
next 6771.67 5347.04
pose 6771.69 5347.42
next 6771.64 5346.43
pose 6771.69 5347.42
next 6771.64 5346.43
pose 6771.68 5347.27
next 6771.63 5346.36
pose 6771.67 5347.12
next 6771.63 5346.28
pose 6771.66 5346.82
next 6771.62 5346.13
pose 6771.66 5346.67
next 6771.62 5346.05
pose 6771.66 5346.67
next 6771.62 5346.05
pose 6771.66 5346.59
next 6771.62 5346.01
pose 6771.65 5346.28
next 6771.59 5345.44
pose 6771.65 5346.21
next 6771.59 5345.44
pose 6771.63 5345.98
next 6771.59 5345.44
pose 6771.62 5345.82
next 6771.59 5345.44
pose 6771.61 5345.75
next 6771.59 5345.44
pose 6771.57 5345.52
next 6771.59 5345.44
pose 6771.57 5345.21
next 6771.58 5344.27
pose 6771.57 5345.14
next 6771.59 5344.22
pose 6771.61 5345
next 6771.61 5344.11
pose 6771.67 5344.87
next 6771.65 5344.01
pose 6771.67 5344.87
next 6771.65 5344.01
pose 6771.72 5344.73
next 6771.69 5343.91
pose 6771.74 5344.51
next 6771.71 5343.74
pose 6771.72 5344.21
next 6771.7 5343.52
pose 6771.72 5344.14
next 6771.7 5343.46
pose 6771.71 5343.99
next 6771.69 5343.35
pose 6771.71 5343.84
next 6771.68 5343.24
pose 6771.71 5343.84
next 6771.68 5343.24
pose 6771.71 5343.69
next 6771.69 5343.12
pose 6771.71 5343.53
next 6771.69 5343.01
pose 6771.71 5343.38
next 6771.66 5342.41
pose 6771.7 5343.23
next 6771.66 5342.33
pose 6771.68 5342.92
next 6771.65 5342.18
pose 6771.67 5342.77
next 6771.64 5342.1
pose 6771.67 5342.77
next 6771.64 5342.1
pose 6771.66 5342.46
next 6771.64 5341.95
pose 6771.66 5342.3
next 6771.62 5341.44
pose 6771.66 5342.15
next 6771.62 5341.44
pose 6771.66 5342.15
next 6771.62 5341.44
pose 6771.65 5341.91
next 6771.62 5341.44
pose 6771.63 5341.68
next 6771.62 5341.44
pose 6771.63 5341.6
next 6771.62 5341.44
pose 6771.63 5341.6
next 6771.62 5341.44
pose 6771.62 5341.37
next 6771.62 5340.75
pose 6771.64 5341.06
next 6771.64 5340.48
pose 6771.64 5341.06
next 6771.64 5340.48
pose 6771.67 5340.76
next 6771.67 5340.22
pose 6771.67 5340.76
next 6771.67 5340.22
pose 6771.66 5340.6
next 6771.66 5340.08
pose 6771.62 5340.3
next 6771.63 5339.33
pose 6771.62 5340.3
next 6771.63 5339.33
pose 6771.62 5340.15
next 6771.63 5339.22
pose 6771.65 5339.93
next 6771.65 5339.06
pose 6771.67 5339.86
next 6771.67 5339
pose 6771.71 5339.49
next 6771.7 5338.72
pose 6771.71 5339.41
next 6771.7 5338.67
pose 6771.7 5339.26
next 6771.69 5338.56
pose 6771.7 5339.26
next 6771.69 5338.56
pose 6771.69 5339.11
next 6771.68 5338.44
pose 6771.69 5338.96
next 6771.68 5338.33
pose 6771.69 5338.8
next 6771.68 5338.21
pose 6771.69 5338.5
next 6771.69 5337.98
pose 6771.69 5338.5
next 6771.69 5337.98
pose 6771.69 5338.19
next 6771.68 5337.31
pose 6771.69 5338.11
next 6771.67 5337.28
pose 6771.67 5337.8
next 6771.67 5337.12
pose 6771.67 5337.8
next 6771.67 5337.12
pose 6771.67 5337.8
next 6771.67 5337.12
pose 6771.69 5337.57
next 6771.68 5337.01
pose 6771.7 5337.27
next 6771.66 5336.44
pose 6771.7 5337.11
next 6771.66 5336.44
pose 6771.7 5337.11
next 6771.66 5336.44
pose 6771.65 5336.81
next 6771.66 5336.44
pose 6771.65 5336.81
next 6771.66 5336.44
pose 6771.61 5336.67
next 6771.66 5336.44
pose 6771.56 5336.3
next 6771.6 5335.34
pose 6771.56 5336.3
next 6771.6 5335.34
pose 6771.58 5336.23
next 6771.61 5335.28
pose 6771.68 5335.98
next 6771.68 5335.09
pose 6771.75 5335.86
next 6771.74 5335.01
pose 6771.75 5335.86
next 6771.74 5335.01
pose 6771.83 5335.59
next 6771.8 5334.8
pose 6771.83 5335.59
next 6771.8 5334.8
pose 6771.82 5335.3
next 6771.79 5334.59
pose 6771.82 5335.3
next 6771.79 5334.59
pose 6771.82 5335.16
next 6771.79 5334.48
pose 6771.81 5334.79
next 6771.78 5334.2
pose 6771.81 5334.79
next 6771.78 5334.2
pose 6771.81 5334.79
next 6771.78 5334.2
pose 6771.81 5334.42
next 6771.75 5333.43
pose 6771.8 5334.2
next 6771.75 5333.32
pose 6771.79 5334.12
next 6771.75 5333.28
pose 6771.79 5334.12
next 6771.75 5333.28
pose 6771.76 5333.83
next 6771.73 5333.13
pose 6771.75 5333.68
next 6771.72 5333.06
pose 6771.75 5333.68
next 6771.72 5333.06
pose 6771.75 5333.38
next 6771.7 5332.44
pose 6771.75 5333.38
next 6771.7 5332.44
pose 6771.75 5333.23
next 6771.7 5332.44
pose 6771.74 5333.07
next 6771.7 5332.44
pose 6771.73 5332.92
next 6771.7 5332.44
pose 6771.72 5332.77
next 6771.7 5332.44
pose 6771.71 5332.39
next 6771.71 5331.4
pose 6771.7 5332.31
next 6771.71 5331.34
pose 6771.68 5332.16
next 6771.7 5331.23
pose 6771.65 5332.01
next 6771.67 5331.12
pose 6771.65 5332.01
next 6771.67 5331.12
pose 6771.58 5331.72
next 6771.61 5330.9
pose 6771.58 5331.72
next 6771.61 5330.9
pose 6771.58 5331.57
next 6771.62 5330.79
pose 6771.58 5331.42
next 6771.62 5330.68
pose 6771.61 5331.12
next 6771.64 5330.45
pose 6771.61 5330.97
next 6771.64 5330.33
pose 6771.61 5330.81
next 6771.64 5330.22
pose 6771.61 5330.81
next 6771.64 5330.22
pose 6771.61 5330.66
next 6771.64 5330.1
pose 6771.62 5330.5
next 6771.64 5329.99
pose 6771.63 5330.12
next 6771.68 5329.28
pose 6771.64 5330.04
next 6771.69 5329.24
pose 6771.66 5329.89
next 6771.7 5329.16
pose 6771.67 5329.81
next 6771.7 5329.12
pose 6771.67 5329.81
next 6771.7 5329.12
pose 6771.67 5329.43
next 6771.73 5328.44
pose 6771.68 5329.27
next 6771.73 5328.44
pose 6771.68 5329.27
next 6771.73 5328.44
pose 6771.69 5329.12
next 6771.73 5328.44
pose 6771.7 5328.96
next 6771.73 5328.44
pose 6771.74 5328.66
next 6771.73 5328.44
pose 6771.75 5328.5
next 6771.73 5328.44
pose 6771.76 5328.34
next 6771.76 5327.73
pose 6771.76 5328.34
next 6771.76 5327.73
pose 6771.75 5328.19
next 6771.75 5327.6
pose 6771.7 5327.97
next 6771.71 5327.41
pose 6771.62 5327.69
next 6771.64 5327.15
pose 6771.62 5327.69
next 6771.64 5327.15
pose 6771.62 5327.61
next 6771.64 5327.09
pose 6771.63 5327.47
next 6771.65 5326.96
pose 6771.67 5327.33
next 6771.7 5326.36
pose 6771.71 5327.04
next 6771.73 5326.14
pose 6771.69 5326.9
next 6771.71 5326.03
pose 6771.66 5326.76
next 6771.68 5325.93
pose 6771.66 5326.76
next 6771.68 5325.93
pose 6771.61 5326.63
next 6771.65 5325.83
pose 6771.59 5326.48
next 6771.63 5325.72
pose 6771.61 5326.13
next 6771.65 5325.45
pose 6771.61 5326.13
next 6771.65 5325.45
pose 6771.64 5325.91
next 6771.67 5325.29
pose 6771.65 5325.76
next 6771.68 5325.18
pose 6771.65 5325.76
next 6771.68 5325.18
pose 6771.65 5325.39
next 6771.71 5324.41
pose 6771.65 5325.32
next 6771.71 5324.38
pose 6771.66 5325.17
next 6771.72 5324.3
pose 6771.68 5325.02
next 6771.72 5324.23
pose 6771.68 5325.02
next 6771.72 5324.23
pose 6771.7 5324.87
next 6771.74 5324.16
pose 6771.72 5324.72
next 6771.75 5324.08
pose 6771.73 5324.57
next 6771.75 5324
pose 6771.74 5324.27
next 6771.77 5323.44
pose 6771.74 5324.11
next 6771.77 5323.44
pose 6771.75 5323.96
next 6771.77 5323.44
pose 6771.75 5323.96
next 6771.77 5323.44
pose 6771.77 5323.65
next 6771.77 5323.44
pose 6771.77 5323.65
next 6771.77 5323.44
pose 6771.79 5323.34
next 6771.79 5322.37
pose 6771.79 5323.34
next 6771.79 5322.37
pose 6771.75 5322.97
next 6771.77 5322.08
pose 6771.73 5322.9
next 6771.75 5322.03
pose 6771.7 5322.75
next 6771.73 5321.92
pose 6771.7 5322.75
next 6771.73 5321.92
pose 6771.7 5322.6
next 6771.73 5321.81
pose 6771.72 5322.29
next 6771.74 5321.58
pose 6771.73 5322.14
next 6771.75 5321.47
pose 6771.73 5322.14
next 6771.75 5321.47
pose 6771.74 5321.83
next 6771.76 5321.24
pose 6771.74 5321.68
next 6771.76 5321.12
pose 6771.74 5321.68
next 6771.76 5321.12
pose 6771.74 5321.53
next 6771.76 5321
pose 6771.76 5321.14
next 6771.78 5320.29
pose 6771.76 5321.14
next 6771.78 5320.29
pose 6771.76 5321.06
next 6771.78 5320.25
pose 6771.75 5320.67
next 6771.78 5320.05
pose 6771.76 5320.59
next 6771.78 5320.02
pose 6771.76 5320.44
next 6771.81 5319.44
pose 6771.76 5320.44
next 6771.81 5319.44
pose 6771.78 5320.12
next 6771.81 5319.44
pose 6771.78 5320.12
next 6771.81 5319.44
pose 6771.8 5319.81
next 6771.81 5319.44
pose 6771.8 5319.81
next 6771.81 5319.44
pose 6771.81 5319.42
next 6771.82 5318.42
pose 6771.81 5319.42
next 6771.82 5318.42
pose 6771.81 5319.18
next 6771.82 5318.24
pose 6771.79 5319.02
next 6771.81 5318.13
pose 6771.76 5318.79
next 6771.78 5317.96
pose 6771.76 5318.79
next 6771.78 5317.96
pose 6771.76 5318.56
next 6771.78 5317.78
pose 6771.76 5318.56
next 6771.78 5317.78
pose 6771.77 5318.41
next 6771.79 5317.67
pose 6771.78 5318.33
next 6771.79 5317.61
pose 6771.79 5318.1
next 6771.8 5317.43
pose 6771.79 5317.78
next 6771.8 5317.2
pose 6771.79 5317.78
next 6771.8 5317.2
pose 6771.79 5317.62
next 6771.8 5317.08
pose 6771.81 5317.31
next 6771.82 5316.37
pose 6771.81 5317.31
next 6771.82 5316.37
pose 6771.82 5317
next 6771.83 5316.22
pose 6771.82 5317
next 6771.83 5316.22
pose 6771.79 5316.61
next 6771.82 5316.02
pose 6771.79 5316.61
next 6771.82 5316.02
pose 6771.79 5316.61
next 6771.82 5316.02
pose 6771.81 5316.22
next 6771.84 5315.44
pose 6771.82 5316.06
next 6771.84 5315.44
pose 6771.83 5315.91
next 6771.84 5315.44
pose 6771.83 5315.91
next 6771.84 5315.44
pose 6771.81 5315.52
next 6771.84 5315.44
pose 6771.81 5315.44
next 6771.84 5315.44
pose 6771.82 5315.29
next 6771.83 5314.33
pose 6771.82 5315.29
next 6771.83 5314.33
pose 6771.92 5315.02
next 6771.91 5314.12
pose 6771.97 5314.88
next 6771.95 5314.02
pose 6771.97 5314.88
next 6771.95 5314.02
pose 6772 5314.74
next 6771.97 5313.91
pose 6772 5314.59
next 6771.97 5313.8
pose 6771.98 5314.29
next 6771.95 5313.58
pose 6771.98 5314.29
next 6771.95 5313.58
pose 6771.97 5313.99
next 6771.95 5313.36
pose 6771.97 5313.99
next 6771.95 5313.36
pose 6771.98 5313.69
next 6771.95 5313.13
pose 6771.98 5313.54
next 6771.95 5313.01
pose 6771.98 5313.54
next 6771.95 5313.01
pose 6771.97 5313.39
next 6771.93 5312.41
pose 6771.97 5313.23
next 6771.92 5312.34
pose 6771.95 5312.85
next 6771.91 5312.15
pose 6771.95 5312.85
next 6771.91 5312.15
pose 6771.93 5312.62
next 6771.9 5312.03
pose 6771.93 5312.46
next 6771.9 5311.95
pose 6771.93 5312.46
next 6771.9 5311.95
pose 6771.93 5312.31
next 6771.88 5311.44
pose 6771.93 5312.15
next 6771.88 5311.44
pose 6771.92 5312
next 6771.88 5311.44
pose 6771.88 5311.69
next 6771.88 5311.44
pose 6771.88 5311.69
next 6771.88 5311.44
pose 6771.85 5311.54
next 6771.88 5311.44
pose 6771.84 5311.46
next 6771.88 5311.44
pose 6771.84 5311.23
next 6771.86 5310.28
pose 6771.91 5310.95
next 6771.91 5310.07
pose 6771.91 5310.95
next 6771.91 5310.07
pose 6772.01 5310.77
next 6771.99 5309.94
pose 6772.08 5310.56
next 6772.04 5309.78
pose 6772.08 5310.56
next 6772.04 5309.78
pose 6772.09 5310.41
next 6772.04 5309.67
pose 6772.06 5310.13
next 6772.02 5309.45
pose 6772.05 5309.98
next 6772.01 5309.34
pose 6772.04 5309.83
next 6772.01 5309.23
pose 6772.04 5309.83
next 6772.01 5309.23
pose 6772.05 5309.68
next 6772.01 5309.12
pose 6772.05 5309.53
next 6772.01 5309.01
pose 6772.05 5309.31
next 6771.98 5308.37
pose 6772.03 5309.08
next 6771.97 5308.26
pose 6772 5308.94
next 6771.96 5308.19
pose 6772 5308.94
next 6771.96 5308.19
pose 6771.97 5308.71
next 6771.94 5308.08
pose 6771.96 5308.64
next 6771.94 5308.04
pose 6771.96 5308.49
next 6771.93 5307.96
pose 6771.96 5308.19
next 6771.91 5307.44
pose 6771.96 5308.19
next 6771.91 5307.44
pose 6771.94 5307.88
next 6771.91 5307.44
pose 6771.92 5307.73
next 6771.91 5307.44
pose 6771.92 5307.73
next 6771.91 5307.44
pose 6771.9 5307.35
next 6771.91 5306.37
pose 6771.9 5307.27
next 6771.91 5306.31
pose 6771.92 5307.05
next 6771.92 5306.15
pose 6771.92 5307.05
next 6771.92 5306.15
pose 6771.93 5306.98
next 6771.94 5306.09
pose 6771.99 5306.68
next 6771.98 5305.87
pose 6771.99 5306.68
next 6771.98 5305.87
pose 6772 5306.53
next 6771.98 5305.76
pose 6771.99 5306.38
next 6771.98 5305.65
pose 6771.98 5306.23
next 6771.97 5305.53
pose 6771.97 5305.93
next 6771.96 5305.31
pose 6771.97 5305.93
next 6771.96 5305.31
pose 6771.97 5305.77
next 6771.96 5305.19
pose 6771.98 5305.62
next 6771.97 5305.08
pose 6771.98 5305.23
next 6771.96 5304.34
pose 6771.98 5305.23
next 6771.96 5304.34
pose 6771.98 5305.16
next 6771.96 5304.3
pose 6771.95 5304.93
next 6771.94 5304.18
pose 6771.93 5304.7
next 6771.94 5304.07
pose 6771.93 5304.7
next 6771.94 5304.07
pose 6771.93 5304.55
next 6771.94 5303.99
pose 6771.94 5304.31
next 6771.94 5303.44
pose 6771.94 5304.24
next 6771.94 5303.44
pose 6771.95 5304
next 6771.94 5303.44
pose 6771.94 5303.77
next 6771.94 5303.44
pose 6771.93 5303.69
next 6771.94 5303.44
pose 6771.93 5303.69
next 6771.94 5303.44
pose 6771.93 5303.38
next 6771.94 5302.39
pose 6771.95 5303.15
next 6771.95 5302.22
pose 6771.98 5303
next 6771.98 5302.11
pose 6771.98 5303
next 6771.98 5302.11
pose 6772.03 5302.86
next 6772.02 5302
pose 6772.05 5302.71
next 6772.03 5301.89
pose 6772.06 5302.56
next 6772.04 5301.78
pose 6772.05 5302.41
next 6772.03 5301.66
pose 6772.05 5302.33
next 6772.03 5301.61
pose 6772.04 5302.1
next 6772.02 5301.44
pose 6772.03 5301.79
next 6772.02 5301.2
pose 6772.03 5301.79
next 6772.02 5301.2
pose 6772.04 5301.48
next 6772.02 5300.97
pose 6772.04 5301.48
next 6772.02 5300.97
pose 6772.03 5301.33
next 6772.01 5300.38
pose 6772.03 5301.17
next 6772 5300.31
pose 6772.01 5300.86
next 6771.99 5300.15
pose 6772.01 5300.86
next 6771.99 5300.15
pose 6772 5300.7
next 6771.99 5300.07
pose 6772.01 5300.39
next 6771.98 5299.44
pose 6772.01 5300.39
next 6771.98 5299.44
pose 6772.01 5300.23
next 6771.98 5299.44
pose 6772.01 5300.07
next 6771.98 5299.44
pose 6771.99 5299.84
next 6771.98 5299.44
pose 6771.97 5299.68
next 6771.98 5299.44
pose 6771.96 5299.53
next 6771.98 5299.44
pose 6771.96 5299.45
next 6771.98 5299.44
pose 6771.97 5299.29
next 6771.97 5298.69
pose 6772.03 5299
next 6772.03 5298.43
pose 6772.09 5298.86
next 6772.08 5298.31
pose 6772.09 5298.86
next 6772.08 5298.31
pose 6772.13 5298.56
next 6772.11 5298.05
pose 6772.11 5298.42
next 6772.09 5297.42
pose 6772.09 5298.27
next 6772.07 5297.31
pose 6772.07 5298.12
next 6772.06 5297.2
pose 6772.04 5297.97
next 6772.04 5297.09
pose 6772.03 5297.82
next 6772.03 5296.98
pose 6772.03 5297.67
next 6772.03 5296.86
pose 6772.03 5297.67
next 6772.03 5296.86
pose 6772.03 5297.52
next 6772.03 5296.75
pose 6772.05 5297.22
next 6772.04 5296.52
pose 6772.05 5297.07
next 6772.04 5296.41
pose 6772.05 5296.91
next 6772.04 5296.29
pose 6772.04 5296.76
next 6772.04 5296.18
pose 6772.04 5296.6
next 6772.04 5296.06
pose 6772.04 5296.6
next 6772.04 5296.06
pose 6772.04 5296.29
next 6772.03 5295.37
pose 6772.04 5296.29
next 6772.03 5295.37
pose 6772.04 5295.98
next 6772.03 5295.21
pose 6772.04 5295.98
next 6772.03 5295.21
pose 6772.04 5295.82
next 6772.03 5295.13
pose 6772.02 5295.44
next 6772.02 5294.44
pose 6772.02 5295.44
next 6772.02 5294.44
pose 6772.02 5295.36
next 6772.02 5294.44
pose 6772.03 5295.04
next 6772.02 5294.44
pose 6772.03 5294.96
next 6772.02 5294.44
pose 6772.03 5294.96
next 6772.02 5294.44
pose 6772.03 5294.81
next 6772.02 5294.44
pose 6772.03 5294.41
next 6772.04 5293.42
pose 6772.03 5294.25
next 6772.03 5293.3
pose 6772.01 5294.1
next 6772.02 5293.18
pose 6772.01 5294.1
next 6772.02 5293.18
pose 6771.99 5294.02
next 6772 5293.13
pose 6771.89 5293.74
next 6771.93 5292.91
pose 6771.87 5293.58
next 6771.92 5292.8
pose 6771.89 5293.36
next 6771.93 5292.63
pose 6771.89 5293.36
next 6771.93 5292.63
pose 6771.91 5293.21
next 6771.95 5292.52
pose 6771.93 5293.06
next 6771.96 5292.4
pose 6771.94 5292.9
next 6771.97 5292.29
pose 6771.94 5292.75
next 6771.97 5292.17
pose 6771.94 5292.6
next 6771.97 5292.06
pose 6771.94 5292.29
next 6772 5291.36
pose 6771.95 5292.13
next 6772 5291.29
pose 6771.95 5292.13
next 6772 5291.29
pose 6771.98 5291.98
next 6772.02 5291.21
pose 6772.02 5291.84
next 6772.04 5291.14
pose 6772.05 5291.69
next 6772.05 5291.06
pose 6772.07 5291.38
next 6772.05 5290.44
pose 6772.06 5291.23
next 6772.05 5290.44
pose 6772.04 5291
next 6772.05 5290.44
pose 6772.04 5291
next 6772.05 5290.44
pose 6772.04 5291
next 6772.05 5290.44
pose 6772.04 5290.77
next 6772.05 5290.44
pose 6772.05 5290.54
next 6772.05 5290.44
pose 6772.06 5290.3
next 6772.07 5289.34
pose 6772.07 5290.15
next 6772.08 5289.22
pose 6772.06 5289.92
next 6772.07 5289.05
pose 6772.06 5289.92
next 6772.07 5289.05
pose 6772.01 5289.71
next 6772.03 5288.89
pose 6772.01 5289.71
next 6772.03 5288.89
pose 6771.97 5289.56
next 6772 5288.78
pose 6771.97 5289.19
next 6772 5288.5
pose 6771.98 5289.11
next 6772.01 5288.44
pose 6771.98 5289.11
next 6772.01 5288.44
pose 6772 5288.96
next 6772.02 5288.33
pose 6772.01 5288.81
next 6772.03 5288.22
pose 6772.02 5288.66
next 6772.04 5288.1
pose 6772.02 5288.43
next 6772.05 5287.43
pose 6772 5288.2
next 6772.04 5287.32
pose 6772 5288.2
next 6772.04 5287.32
pose 6772.02 5287.83
next 6772.06 5287.13
pose 6772.02 5287.83
next 6772.06 5287.13
pose 6772.05 5287.6
next 6772.07 5287.02
pose 6772.05 5287.6
next 6772.07 5287.02
pose 6772.06 5287.45
next 6772.07 5286.95
pose 6772.07 5287.15
next 6772.09 5286.44
pose 6772.07 5287.15
next 6772.09 5286.44
pose 6772.07 5286.99
next 6772.09 5286.44
pose 6772.08 5286.69
next 6772.09 5286.44
pose 6772.1 5286.53
next 6772.09 5286.44
pose 6772.1 5286.53
next 6772.09 5286.44
pose 6772.11 5286.23
next 6772.11 5285.63
pose 6772.11 5286.23
next 6772.11 5285.63
pose 6772.05 5285.93
next 6772.06 5285.37
pose 6772.02 5285.78
next 6772.03 5285.24
pose 6772.02 5285.78
next 6772.03 5285.24
pose 6772.06 5285.42
next 6772.07 5284.42
pose 6772.06 5285.42
next 6772.07 5284.42
pose 6772.07 5285.35
next 6772.09 5284.37
pose 6772.08 5285.12
next 6772.1 5284.2
pose 6772.06 5284.83
next 6772.08 5283.98
pose 6772.06 5284.83
next 6772.08 5283.98
pose 6772.07 5284.53
next 6772.08 5283.76
pose 6772.07 5284.53
next 6772.08 5283.76
pose 6772.08 5284.31
next 6772.09 5283.59
pose 6772.08 5284.31
next 6772.09 5283.59
pose 6772.08 5284.23
next 6772.09 5283.54
pose 6772.09 5284.01
next 6772.1 5283.37
pose 6772.09 5283.78
next 6772.1 5283.19
pose 6772.09 5283.55
next 6772.1 5283.02
pose 6772.1 5283.47
next 6772.1 5282.96
pose 6772.1 5283.24
next 6772.11 5282.34
pose 6772.1 5283.24
next 6772.11 5282.34
pose 6772.11 5282.85
next 6772.12 5282.15
pose 6772.11 5282.7
next 6772.12 5282.07
pose 6772.12 5282.62
next 6772.12 5282.03
pose 6772.12 5282.62
next 6772.12 5282.03
pose 6772.12 5282.46
next 6772.13 5281.95
pose 6772.12 5282.23
next 6772.13 5281.44
pose 6772.13 5282.15
next 6772.13 5281.44
pose 6772.13 5281.83
next 6772.13 5281.44
pose 6772.13 5281.83
next 6772.13 5281.44
pose 6772.13 5281.52
next 6772.13 5281.44
pose 6772.13 5281.36
next 6772.14 5280.38
pose 6772.13 5281.28
next 6772.14 5280.32
pose 6772.14 5281.04
next 6772.15 5280.14
pose 6772.14 5281.04
next 6772.15 5280.14
pose 6772.09 5280.75
next 6772.11 5279.92
pose 6772.06 5280.59
next 6772.09 5279.81
pose 6772.06 5280.59
next 6772.09 5279.81
pose 6772.07 5280.29
next 6772.09 5279.58
pose 6772.07 5280.29
next 6772.09 5279.58
pose 6772.1 5279.99
next 6772.12 5279.35
pose 6772.1 5279.99
next 6772.12 5279.35
pose 6772.11 5279.68
next 6772.12 5279.12
pose 6772.11 5279.68
next 6772.12 5279.12
pose 6772.11 5279.52
next 6772.12 5279
pose 6772.11 5279.29
next 6772.14 5278.37
pose 6772.12 5279.06
next 6772.14 5278.25
pose 6772.12 5279.06
next 6772.14 5278.25
pose 6772.14 5278.74
next 6772.15 5278.09
pose 6772.14 5278.51
next 6772.15 5277.98
pose 6772.14 5278.51
next 6772.15 5277.98
pose 6772.14 5278.27
next 6772.16 5277.44
pose 6772.15 5278.12
next 6772.16 5277.44
pose 6772.15 5277.96
next 6772.16 5277.44
pose 6772.15 5277.8
next 6772.16 5277.44
pose 6772.15 5277.64
next 6772.16 5277.44
