waypoint class initialized
waypoint class initialized
pose 6771.04 5428.46
next 6771.01 5427.95
pose 6771.03 5428.31
next 6770.97 5427.37
pose 6771 5428.01
next 6770.95 5427.22
pose 6770.98 5427.87
next 6770.94 5427.15
pose 6770.98 5427.87
next 6770.94 5427.15
pose 6770.99 5427.57
next 6770.95 5427
pose 6770.99 5427.57
next 6770.95 5427
pose 6770.99 5427.42
next 6770.9 5426.44
pose 6770.98 5427.12
next 6770.9 5426.44
pose 6770.98 5427.12
next 6770.9 5426.44
pose 6770.92 5426.75
next 6770.9 5426.44
pose 6770.91 5426.67
next 6770.9 5426.44
pose 6770.9 5426.52
next 6770.9 5426.44
pose 6770.89 5426.37
next 6770.9 5425.38
pose 6770.89 5426.14
next 6770.9 5425.21
pose 6770.89 5426.14
next 6770.9 5425.21
pose 6770.9 5426.06
next 6770.91 5425.16
pose 6770.9 5425.69
next 6770.91 5424.87
pose 6770.9 5425.61
next 6770.91 5424.82
pose 6770.9 5425.46
next 6770.91 5424.7
pose 6770.9 5425.46
next 6770.91 5424.7
pose 6770.9 5425.31
next 6770.91 5424.59
pose 6770.9 5425.08
next 6770.91 5424.42
pose 6770.91 5424.85
next 6770.91 5424.24
pose 6770.91 5424.69
next 6770.92 5424.13
pose 6770.91 5424.54
next 6770.92 5424.01
pose 6770.91 5424.54
next 6770.92 5424.01
pose 6770.91 5424.38
next 6770.92 5423.41
pose 6770.91 5424.07
next 6770.92 5423.25
pose 6770.91 5423.99
next 6770.92 5423.21
pose 6770.91 5423.99
next 6770.92 5423.21
pose 6770.93 5423.59
next 6770.93 5423.02
pose 6770.93 5423.44
next 6770.93 5422.94
pose 6770.93 5423.28
next 6770.93 5422.44
pose 6770.93 5423.12
next 6770.93 5422.44
pose 6770.93 5422.96
next 6770.93 5422.44
pose 6770.93 5422.8
next 6770.93 5422.44
pose 6770.93 5422.8
next 6770.93 5422.44
pose 6770.93 5422.48
next 6770.93 5422.44
pose 6770.94 5422.32
next 6770.94 5421.71
pose 6770.94 5422.08
next 6770.94 5421.5
