Global Path Load
6770.76 -5443.44 -89.5138
waypoint class initialized
Global Path Load
6770.76 -5443.44 -89.5138
waypoint class initialized
pose 6771.16 -5399.73
next 6771.15 -5396.44
pose 6771.17 -5399.48
next 6771.15 -5396.44
pose 6771.17 -5398.71
next 6771.15 -5396.44
pose 6771.18 -5398.2
next 6771.15 -5396.44
pose 6771.18 -5397.94
next 6771.15 -5396.44
pose 6771.19 -5397.18
next 6771.15 -5396.44
pose 6771.19 -5396.41
next 6771.19 -5392.44
pose 6771.19 -5396.16
next 6771.19 -5392.44
pose 6771.2 -5395.64
next 6771.19 -5392.44
pose 6771.2 -5395.39
next 6771.19 -5392.44
pose 6771.21 -5394.37
next 6771.19 -5392.44
pose 6771.21 -5394.12
next 6771.19 -5392.44
pose 6771.22 -5393.6
next 6771.19 -5392.44
pose 6771.22 -5393.09
next 6771.19 -5392.44
pose 6771.23 -5392.58
next 6771.19 -5392.44
pose 6771.23 -5392.07
next 6771.22 -5388.44
pose 6771.24 -5391.3
next 6771.22 -5388.44
pose 6771.24 -5391.05
next 6771.22 -5388.44
pose 6771.25 -5390.53
next 6771.22 -5388.44
pose 6771.25 -5390.28
next 6771.22 -5388.44
pose 6771.26 -5389.51
next 6771.22 -5388.44
pose 6771.26 -5389.26
next 6771.22 -5388.44
pose 6771.27 -5388.49
next 6771.22 -5388.44
pose 6771.27 -5387.73
next 6771.26 -5384.44
pose 6771.28 -5387.47
next 6771.26 -5384.44
pose 6771.28 -5387.22
next 6771.26 -5384.44
pose 6771.29 -5385.94
next 6771.26 -5384.44
pose 6771.29 -5385.94
next 6771.26 -5384.44
pose 6771.29 -5385.43
next 6771.26 -5384.44
pose 6771.29 -5385.43
next 6771.26 -5384.44
pose 6771.31 -5384.15
next 6771.29 -5380.44
pose 6771.31 -5383.9
next 6771.29 -5380.44
pose 6771.31 -5383.39
next 6771.29 -5380.44
pose 6771.32 -5382.88
next 6771.29 -5380.44
pose 6771.32 -5382.37
next 6771.29 -5380.44
pose 6771.33 -5381.61
next 6771.29 -5380.44
pose 6771.34 -5381.09
next 6771.29 -5380.44
pose 6771.34 -5381.09
next 6771.29 -5380.44
pose 6771.34 -5380.33
next 6771.33 -5375.44
pose 6771.35 -5379.82
next 6771.33 -5375.44
pose 6771.35 -5379.31
next 6771.33 -5375.44
pose 6771.36 -5378.79
next 6771.33 -5375.44
pose 6771.36 -5378.79
next 6771.33 -5375.44
pose 6771.37 -5377.77
next 6771.33 -5375.44
pose 6771.37 -5377.52
next 6771.33 -5375.44
pose 6771.38 -5376.75
next 6771.33 -5375.44
pose 6771.38 -5376.25
next 6771.33 -5375.44
pose 6771.39 -5375.73
next 6771.33 -5375.44
pose 6771.39 -5375.23
next 6771.37 -5371.44
pose 6771.4 -5374.71
next 6771.37 -5371.44
pose 6771.4 -5374.2
next 6771.37 -5371.44
pose 6771.41 -5373.18
next 6771.37 -5371.44
pose 6771.41 -5373.18
next 6771.37 -5371.44
pose 6771.41 -5372.67
next 6771.37 -5371.44
pose 6771.42 -5372.16
next 6771.37 -5371.44
pose 6771.42 -5371.65
next 6771.37 -5371.44
pose 6771.43 -5371.39
next 6771.4 -5367.44
pose 6771.43 -5370.63
next 6771.4 -5367.44
pose 6771.44 -5370.12
next 6771.4 -5367.44
pose 6771.44 -5369.35
next 6771.4 -5367.44
pose 6771.45 -5369.1
next 6771.4 -5367.44
pose 6771.45 -5368.33
next 6771.4 -5367.44
pose 6771.46 -5368.07
next 6771.4 -5367.44
pose 6771.46 -5367.57
next 6771.4 -5367.44
pose 6771.47 -5367.05
next 6771.44 -5362.44
pose 6771.47 -5366.8
next 6771.44 -5362.44
pose 6771.48 -5366.03
next 6771.44 -5362.44
pose 6771.48 -5365.53
next 6771.44 -5362.44
pose 6771.49 -5365.01
next 6771.44 -5362.44
pose 6771.49 -5364.51
next 6771.44 -5362.44
pose 6771.49 -5363.99
next 6771.44 -5362.44
pose 6771.5 -5363.48
next 6771.44 -5362.44
pose 6771.5 -5362.97
next 6771.44 -5362.44
pose 6771.51 -5362.46
next 6771.44 -5362.44
pose 6771.52 -5361.69
next 6771.48 -5358.44
pose 6771.52 -5361.44
next 6771.48 -5358.44
pose 6771.53 -5360.67
next 6771.48 -5358.44
pose 6771.53 -5360.67
next 6771.48 -5358.44
pose 6771.53 -5359.91
next 6771.48 -5358.44
pose 6771.54 -5359.4
next 6771.48 -5358.44
pose 6771.54 -5358.89
next 6771.48 -5358.44
pose 6771.55 -5358.37
next 6771.51 -5354.44
pose 6771.55 -5357.87
next 6771.51 -5354.44
pose 6771.56 -5357.35
next 6771.51 -5354.44
pose 6771.57 -5356.33
next 6771.51 -5354.44
pose 6771.57 -5356.33
next 6771.51 -5354.44
pose 6771.57 -5355.83
next 6771.51 -5354.44
pose 6771.57 -5355.57
next 6771.51 -5354.44
pose 6771.58 -5355.05
next 6771.51 -5354.44
pose 6771.59 -5354.03
next 6771.55 -5349.44
pose 6771.59 -5354.03
next 6771.55 -5349.44
pose 6771.59 -5353.53
next 6771.55 -5349.44
pose 6771.6 -5352.76
next 6771.55 -5349.44
pose 6771.6 -5352.25
next 6771.55 -5349.44
pose 6771.61 -5351.74
next 6771.55 -5349.44
pose 6771.61 -5351.23
next 6771.55 -5349.44
pose 6771.62 -5350.72
next 6771.55 -5349.44
pose 6771.63 -5349.69
next 6771.55 -5349.44
pose 6771.63 -5349.69
next 6771.55 -5349.44
pose 6771.63 -5349.44
next 6771.55 -5349.44
pose 6771.64 -5348.67
next 6771.59 -5345.44
pose 6771.64 -5348.17
next 6771.59 -5345.44
pose 6771.65 -5347.14
next 6771.59 -5345.44
pose 6771.65 -5347.14
next 6771.59 -5345.44
pose 6771.66 -5346.63
next 6771.59 -5345.44
pose 6771.66 -5346.38
next 6771.59 -5345.44
pose 6771.67 -5345.35
next 6771.62 -5341.44
pose 6771.67 -5345.35
next 6771.62 -5341.44
pose 6771.68 -5344.33
next 6771.62 -5341.44
pose 6771.68 -5344.33
next 6771.62 -5341.44
pose 6771.68 -5344.08
next 6771.62 -5341.44
pose 6771.69 -5343.06
next 6771.62 -5341.44
pose 6771.7 -5342.04
next 6771.62 -5341.44
pose 6771.7 -5342.04
next 6771.62 -5341.44
pose 6771.7 -5341.52
next 6771.62 -5341.44
pose 6771.71 -5340.5
next 6771.66 -5336.44
pose 6771.71 -5340.5
next 6771.66 -5336.44
pose 6771.72 -5339.99
next 6771.66 -5336.44
pose 6771.73 -5338.72
next 6771.66 -5336.44
pose 6771.73 -5338.72
next 6771.66 -5336.44
pose 6771.73 -5338.72
next 6771.66 -5336.44
pose 6771.74 -5337.95
next 6771.66 -5336.44
pose 6771.74 -5337.44
next 6771.66 -5336.44
pose 6771.75 -5336.16
next 6771.7 -5332.44
pose 6771.75 -5336.16
next 6771.7 -5332.44
pose 6771.76 -5335.91
next 6771.7 -5332.44
pose 6771.76 -5335.65
next 6771.7 -5332.44
pose 6771.77 -5334.63
next 6771.7 -5332.44
pose 6771.77 -5334.63
next 6771.7 -5332.44
pose 6771.77 -5334.12
next 6771.7 -5332.44
pose 6771.78 -5333.61
next 6771.7 -5332.44
pose 6771.78 -5332.84
next 6771.7 -5332.44
pose 6771.79 -5332.59
next 6771.7 -5332.44
pose 6771.8 -5331.31
next 6771.73 -5328.44
pose 6771.8 -5331.31
next 6771.73 -5328.44
pose 6771.8 -5331.06
next 6771.73 -5328.44
pose 6771.81 -5330.29
next 6771.73 -5328.44
pose 6771.81 -5329.78
next 6771.73 -5328.44
pose 6771.82 -5329.27
next 6771.73 -5328.44
pose 6771.83 -5328.25
next 6771.77 -5323.44
pose 6771.83 -5328.25
next 6771.77 -5323.44
pose 6771.83 -5327.74
next 6771.77 -5323.44
pose 6771.84 -5327.23
next 6771.77 -5323.44
pose 6771.84 -5326.72
next 6771.77 -5323.44
pose 6771.85 -5325.95
next 6771.77 -5323.44
pose 6771.85 -5325.95
next 6771.77 -5323.44
pose 6771.86 -5325.18
next 6771.77 -5323.44
pose 6771.86 -5324.68
next 6771.77 -5323.44
pose 6771.87 -5324.16
next 6771.77 -5323.44
pose 6771.87 -5323.4
next 6771.81 -5319.44
pose 6771.88 -5323.14
next 6771.81 -5319.44
pose 6771.88 -5322.88
next 6771.81 -5319.44
pose 6771.88 -5322.12
next 6771.81 -5319.44
pose 6771.89 -5321.35
next 6771.81 -5319.44
pose 6771.89 -5321.1
next 6771.81 -5319.44
pose 6771.9 -5320.59
next 6771.81 -5319.44
pose 6771.91 -5319.82
next 6771.81 -5319.44
pose 6771.91 -5319.57
next 6771.81 -5319.44
pose 6771.91 -5319.05
next 6771.84 -5315.44
pose 6771.92 -5318.54
next 6771.84 -5315.44
pose 6771.92 -5318.03
next 6771.84 -5315.44
pose 6771.93 -5317.52
next 6771.84 -5315.44
pose 6771.94 -5316.5
next 6771.84 -5315.44
pose 6771.94 -5316.5
next 6771.84 -5315.44
pose 6771.94 -5316.25
next 6771.84 -5315.44
pose 6771.95 -5315.48
next 6771.84 -5315.44
pose 6771.95 -5314.97
next 6771.88 -5311.44
pose 6771.96 -5314.46
next 6771.88 -5311.44
pose 6771.96 -5314.2
next 6771.88 -5311.44
pose 6771.97 -5313.44
next 6771.88 -5311.44
pose 6771.97 -5312.93
next 6771.88 -5311.44
pose 6771.97 -5312.41
next 6771.88 -5311.44
pose 6771.98 -5311.91
next 6771.88 -5311.44
pose 6771.98 -5311.39
next 6771.91 -5307.44
pose 6771.99 -5310.89
next 6771.91 -5307.44
pose 6771.99 -5310.37
next 6771.91 -5307.44
pose 6772 -5309.86
next 6771.91 -5307.44
pose 6772 -5309.35
next 6771.91 -5307.44
pose 6772.01 -5308.84
next 6771.91 -5307.44
pose 6772.02 -5307.82
next 6771.91 -5307.44
pose 6772.02 -5307.82
next 6771.91 -5307.44
pose 6772.03 -5306.55
next 6771.94 -5303.44
pose 6772.03 -5306.55
next 6771.94 -5303.44
pose 6772.03 -5306.29
next 6771.94 -5303.44
pose 6772.04 -5305.77
next 6771.94 -5303.44
pose 6772.04 -5305.27
next 6771.94 -5303.44
pose 6772.05 -5304.75
next 6771.94 -5303.44
pose 6772.05 -5304.25
next 6771.94 -5303.44
pose 6772.06 -5303.73
next 6771.94 -5303.44
pose 6772.06 -5303.48
next 6771.94 -5303.44
pose 6772.07 -5302.71
next 6771.98 -5299.44
pose 6772.07 -5302.71
next 6771.98 -5299.44
pose 6772.08 -5301.43
next 6771.98 -5299.44
pose 6772.08 -5301.18
next 6771.98 -5299.44
pose 6772.08 -5300.67
next 6771.98 -5299.44
pose 6772.09 -5300.41
next 6771.98 -5299.44
pose 6772.09 -5299.65
next 6771.98 -5299.44
pose 6772.1 -5298.89
next 6772.02 -5294.44
pose 6772.1 -5298.89
next 6772.02 -5294.44
pose 6772.11 -5298.12
next 6772.02 -5294.44
pose 6772.11 -5297.6
next 6772.02 -5294.44
pose 6772.12 -5297.09
next 6772.02 -5294.44
pose 6772.12 -5296.58
next 6772.02 -5294.44
pose 6772.12 -5296.33
next 6772.02 -5294.44
pose 6772.13 -5295.82
next 6772.02 -5294.44
pose 6772.14 -5295.05
next 6772.02 -5294.44
pose 6772.14 -5294.54
next 6772.02 -5294.44
pose 6772.14 -5294.54
next 6772.02 -5294.44
pose 6772.15 -5293.78
next 6772.05 -5290.44
pose 6772.15 -5293.26
next 6772.05 -5290.44
pose 6772.16 -5292.75
next 6772.05 -5290.44
pose 6772.17 -5291.99
next 6772.05 -5290.44
pose 6772.17 -5291.48
next 6772.05 -5290.44
pose 6772.17 -5290.96
next 6772.05 -5290.44
pose 6772.18 -5290.2
next 6772.09 -5286.44
pose 6772.18 -5289.94
next 6772.09 -5286.44
pose 6772.19 -5289.44
next 6772.09 -5286.44
pose 6772.19 -5288.92
next 6772.09 -5286.44
pose 6772.2 -5288.42
next 6772.09 -5286.44
pose 6772.2 -5287.9
next 6772.09 -5286.44
pose 6772.21 -5287.14
next 6772.09 -5286.44
pose 6772.22 -5286.12
next 6772.13 -5281.44
pose 6772.22 -5285.6
next 6772.13 -5281.44
pose 6772.22 -5285.6
next 6772.13 -5281.44
pose 6772.22 -5285.6
next 6772.13 -5281.44
pose 6772.23 -5284.84
next 6772.13 -5281.44
pose 6772.24 -5284.33
next 6772.13 -5281.44
pose 6772.24 -5283.82
next 6772.13 -5281.44
pose 6772.25 -5283.31
next 6772.13 -5281.44
pose 6772.25 -5283.05
next 6772.13 -5281.44
pose 6772.25 -5282.54
next 6772.13 -5281.44
pose 6772.26 -5282.03
next 6772.13 -5281.44
pose 6772.26 -5281.26
next 6772.16 -5277.44
pose 6772.27 -5280.5
next 6772.16 -5277.44
pose 6772.27 -5280.24
next 6772.16 -5277.44
pose 6772.28 -5279.74
next 6772.16 -5277.44
pose 6772.28 -5279.22
next 6772.16 -5277.44
pose 6772.29 -5278.71
next 6772.16 -5277.44
pose 6772.29 -5278.2
next 6772.16 -5277.44
pose 6772.3 -5277.69
next 6772.16 -5277.44
pose 6772.3 -5277.44
next 6772.2 -5273.44
pose 6772.31 -5276.42
next 6772.2 -5273.44
pose 6772.31 -5276.16
next 6772.2 -5273.44
pose 6772.32 -5275.65
next 6772.2 -5273.44
pose 6772.32 -5275.4
next 6772.2 -5273.44
pose 6772.33 -5273.86
next 6772.2 -5273.44
pose 6772.33 -5273.86
next 6772.2 -5273.44
